ID,Time,Longitude,Latitude,Occupancy,Distance
22224,19:07:35,113.839516,22.634333,0,42
22224,19:11:20,113.843903,22.622066,0,61
22224,19:09:50,113.8452,22.626034,0,26
22224,17:14:08,113.852699,22.632483,1,83
22224,07:05:12,113.887016,22.547449,0,1
22224,06:59:26,113.887451,22.548018,1,2
22224,17:10:11,113.888901,22.658966,1,83
22224,17:09:27,113.897133,22.658167,1,75
22224,10:21:42,113.903397,22.557684,0,54
22224,10:22:26,113.905067,22.554983,1,3
22224,15:00:34,113.918633,22.526484,1,6
22224,10:25:42,113.921829,22.55545,1,64
22224,15:11:04,113.922318,22.540733,1,53
22224,14:53:48,113.924164,22.5268,1,32
22224,15:16:58,113.929382,22.542517,1,67
22224,10:27:42,113.939934,22.5553,1,57
22224,15:24:38,113.944901,22.542133,1,0
22224,14:50:18,113.951286,22.523783,1,85
22224,15:37:25,113.953003,22.561916,1,19
22224,15:36:10,113.953133,22.554466,1,64
22224,10:41:17,113.960518,22.564632,1,4
22224,10:38:28,113.96067,22.567101,1,3
22224,10:38:13,113.960686,22.567667,1,31
22224,15:41:25,113.971786,22.585716,1,81
22224,15:46:55,113.982201,22.585951,1,0
22224,14:47:03,113.989014,22.524549,1,61
22224,16:54:47,113.99102,22.587299,1,74
22224,20:19:23,113.999283,22.639883,1,69
22224,20:23:08,114.001266,22.643732,1,0
22224,16:00:40,114.00193,22.590933,1,26
22224,20:24:08,114.005486,22.646334,1,34
22224,20:14:38,114.01075,22.593149,1,61
22224,20:54:14,114.010902,22.59815,1,50
22224,20:15:23,114.011719,22.600582,1,69
22224,16:50:02,114.011765,22.607082,1,76
22224,20:27:38,114.013313,22.651318,1,24
22224,14:42:48,114.015366,22.532717,1,28
22224,20:28:08,114.015816,22.653133,1,40
22224,14:39:33,114.01683,22.532734,1,11
22224,20:36:20,114.018852,22.655767,0,18
22224,10:49:37,114.018951,22.550417,1,56
22224,19:52:46,114.0214,22.560183,1,59
22224,20:05:53,114.022415,22.560499,1,49
22224,14:31:17,114.024071,22.526083,0,17
22224,16:47:17,114.024597,22.620567,1,0
22224,14:29:01,114.025002,22.527082,1,3
22224,14:32:02,114.025101,22.527582,0,23
22224,00:25:06,114.025436,22.55575,1,17
22224,20:05:23,114.025597,22.561449,1,38
22224,19:53:15,114.025932,22.560966,1,61
22224,21:08:45,114.02597,22.5457,1,85
22224,14:25:31,114.026016,22.530184,1,61
22224,01:32:40,114.027748,22.557632,1,46
22224,00:25:51,114.028847,22.556967,1,44
22224,21:05:30,114.029968,22.543949,0,0
22224,16:21:28,114.033363,22.633883,0,0
22224,16:21:43,114.033363,22.6339,0,0
22224,16:31:34,114.034035,22.62565,0,2
22224,21:21:46,114.034302,22.547934,1,0
22224,21:22:01,114.034302,22.547934,1,0
22224,14:21:31,114.035965,22.5417,1,0
22224,11:08:04,114.038635,22.516268,1,1
22224,21:24:58,114.041115,22.553383,1,34
22224,00:01:27,114.042686,22.556784,0,43
22224,11:12:21,114.043602,22.51425,1,67
22224,10:55:16,114.044868,22.526617,1,0
22224,16:08:12,114.04493,22.609533,1,11
22224,16:16:05,114.044983,22.632299,0,36
22224,16:14:35,114.046654,22.63335,0,3
22224,14:17:41,114.047684,22.5474,1,27
22224,14:17:11,114.047684,22.54855,1,36
22224,11:00:33,114.04847,22.525583,1,1
22224,12:12:42,114.049065,22.591267,1,51
22224,01:38:26,114.049767,22.562283,0,29
22224,12:16:57,114.054665,22.609949,1,46
22224,06:41:56,114.054985,22.565083,1,75
22224,12:27:13,114.055717,22.61945,0,20
22224,12:27:47,114.055748,22.615467,0,51
22224,11:37:16,114.06443,22.530167,1,4
22224,11:29:25,114.067719,22.54265,0,55
22224,14:04:11,114.069481,22.532301,1,38
22224,11:29:38,114.069519,22.542749,0,51
22224,01:25:10,114.069519,22.569317,1,76
22224,14:00:54,114.071686,22.527567,0,7
22224,12:06:48,114.071899,22.55825,1,85
22224,11:33:16,114.071953,22.537201,1,53
22224,13:51:19,114.071953,22.551149,1,87
22224,11:42:32,114.072052,22.537251,0,19
22224,21:36:33,114.077469,22.572468,1,10
22224,00:31:21,114.078979,22.572651,1,66
22224,12:04:48,114.081352,22.556717,1,45
22224,11:58:18,114.083885,22.546949,1,1
22224,00:31:51,114.083916,22.571033,1,75
22224,12:03:33,114.084846,22.554417,1,16
22224,11:53:33,114.085167,22.543467,1,15
22224,11:52:33,114.085648,22.543301,1,14
22224,12:39:20,114.087769,22.558283,0,62
22224,01:47:11,114.090584,22.561117,0,38
22224,01:22:10,114.090981,22.558783,1,43
22224,21:42:18,114.091866,22.567568,1,25
22224,12:42:05,114.09462,22.556368,0,3
22224,13:09:05,114.099365,22.555367,0,0
22224,06:33:41,114.099586,22.606117,1,4
22224,06:33:26,114.099602,22.606133,1,0
22224,02:16:40,114.100548,22.607567,0,2
22224,02:19:10,114.101067,22.612133,0,23
22224,22:11:18,114.102585,22.58765,0,42
22224,13:37:10,114.103615,22.55855,1,39
22224,22:47:55,114.10392,22.555367,1,49
22224,22:42:24,114.104332,22.5525,1,12
